Company,Designation,Locations,Established Year,Employees Count,Link,HR_Name,Experience,Followers,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skills7,Cluster,Experience Category
EagleView,Senior Financial Accountant ,Work From Home,2008,0 - 10 employees,https://www.instahyre.com/job-248006-senior-financial-accountant-at-eagleview-work-from-home/,Kavya Iyer,3-6 Years,30000,Accounting,Auditing,Chartered,Accountant,,,,Class2,Junior Level
LTIMindtree,Fullstack Developer,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-249199-fullstack-developer-java-at-ltimindtree-2-bangalore-delhi-mumbai/,Akshata,4-6 Years,452194,Angular,Java,Microservices,Spring,Boot,,,Class1,Mid-Level
mPokket,Performance Marketing ,Bangalore,2016,More than 1000 employees,https://www.instahyre.com/job-248784-performance-marketing-at-mpokket-bangalore-kolkata/,Aikya Chakraborty,4-8 Years,22000,Content,Marketing,Digital,Marketing,Facebook,Marketing,,Class1,Mid-Level
Open Financial Technologies,Zonal Head Sales ,Chennai,2017,200 - 500 employees,https://www.instahyre.com/job-248018-zonal-head-sales-at-open-financial-technologies-chennai-delhi/,Libin O K,6-10 Years,35000,Channel,Sales,Payment,Processing,Revenue,Management,,Class2,Mid-Level
Piramal Capital & Housing Finance,DPM 1 ,Bangalore,2017,10 - 50 employees,https://www.instahyre.com/job-248890-dpm-1-at-piramal-capital-housing-finance-bangalore/,Hr,1-3 Years,138000,Product,Management,,,,,,Class2,Junior Level
Piramal Capital & Housing Finance,QA 1 ,Mumbai,2017,10 - 50 employees,https://www.instahyre.com/job-248884-qa-1-at-piramal-capital-housing-finance-mumbai/,Hr,2-5 Years,138000,Automation,Testing,LMS,LOS,Manual,Testing,,Class2,Junior Level
Piramal Capital & Housing Finance,SDE 1 ,Mumbai,2017,10 - 50 employees,https://www.instahyre.com/job-248875-sde-1-at-piramal-capital-housing-finance-mumbai/,Hr,1-4 Years,138000,Algorithms,Data,Structures,Django,Flask,Java,,Class2,Junior Level
Sedin Technologies,Businees Development Executive ,Chennai,2006,200 - 500 employees,https://www.instahyre.com/job-248020-businees-development-executive-at-sedin-technologies-chennai/,Mubeen Fathima,0-2 Years,12000,Business,Development,Corporate,Sales,Sales,,,Class2,Fresher
Upstox,Software Development Engineer,Mumbai,2010,200 - 500 employees,https://www.instahyre.com/job-248956-software-development-engineer-iv-ios-at-upstox-mumbai/,Asutosh Maharana,6-10 Years,91000,Swift,SwiftUI,iOS,,,,,Class2,Mid-Level
Zynga,Senior Software Engineer ,Bangalore,2007,More than 1000 employees,https://www.instahyre.com/job-248751-senior-software-engineer-at-zynga-bangalore/,Nishtha Pareek,5-9 Years,214000,Android,Java,JavaScript,Python,,,,Class1,Mid-Level
Docsumo,Sales Development Representative ,Bangalore,2018,10 - 50 employees,https://www.instahyre.com/job-246411-sales-development-representative-at-docsumo-bangalore/,Vaidehi Tipnis,2-4 Years,28053,Business,Development,International,Sales,,,,Class2,Junior Level
Docsumo,Senior Machine Learning Engineer ,Bangalore,2018,10 - 50 employees,https://www.instahyre.com/job-246406-senior-machine-learning-engineer-at-docsumo-bangalore/,Vaidehi Tipnis,6-8 Years,28053,AWS,Machine,Learning,NLP,OCR,Python,pandas,Class2,Mid-Level
Flash,Customer Support Specialist ,Bangalore,2022,10 - 50 employees,https://www.instahyre.com/job-246599-customer-support-specialist-at-flash-2-bangalore/,Mugdha,2-5 Years,8000,Customer,Service,Telecalling,,,,,Class2,Junior Level
Leena AI,Customer Success Manager ,Gurgaon,2015,200 - 500 employees,https://www.instahyre.com/job-247885-customer-success-manager-at-leena-ai-gurgaon/,Rekha Singh,3-6 Years,87000,Customer,Interaction,Customer,Relationship,,,,Class2,Junior Level
LTIMindtree,AWS Developer ,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-245387-aws-developer-at-ltimindtree-2-bangalore-chennai-mumbai/,Akshata,5-6 Years,452194,AWS,AWS,Glue,Amazon,Redshift,Python,Spark,Class1,Mid-Level
MathWorks,Operations Specialist Recruitment Operations ,Bangalore,1984,More than 1000 employees,https://www.instahyre.com/job-246389-operations-specialist-recruitment-operations-at-mathworks-bangalore/,Jordan Sarasan,6-10 Years,332000,HR,Operations,Microsoft,Excel,Recruitment,,,Class1,Mid-Level
MathWorks,Talent Acquisition Campus Hiring ,Bangalore,1984,More than 1000 employees,https://www.instahyre.com/job-246388-talent-acquisition-campus-hiring-at-mathworks-bangalore/,Jordan Sarasan,7-11 Years,332000,Campus,Recruitment,IT,Recruitment,Non,IT,Recruitment,Class1,Senior Level
Univariety,Key Account Manager ,Hyderabad,2011,50 - 200 employees,https://www.instahyre.com/job-247921-key-account-manager-at-univariety-hyderabad/,Sunitha Mudiraj,4-7 Years,7388,Customer,Interaction,Customer,Relationship,,,,Class2,Mid-Level
Univariety,Manager,Hyderabad,2011,50 - 200 employees,https://www.instahyre.com/job-247915-manager-institutional-b2b-sales-at-univariety-hyderabad/,Sunitha Mudiraj,3-7 Years,7388,Corporate,Sales,Direct,Sales,,,,Class2,Junior Level
Univariety,Product Marketing Specialist ,Hyderabad,2011,50 - 200 employees,https://www.instahyre.com/job-247955-product-marketing-specialist-at-univariety-hyderabad/,Sunitha Mudiraj,2-6 Years,7388,AB,Testing,Amplitude,Clevertap,GTM,Google,Analytics,Class2,Junior Level
Google,Business Systems Analyst ,Hyderabad,1998,More than 1000 employees,https://www.instahyre.com/job-244761-business-systems-analyst-at-google-2-hyderabad/,Aneesh Vikram,5-9 Years,29000000,Finance,Marketing,Microsoft,Excel,Product,Management,,Class3,Mid-Level
Google,"Data Scientist, Engineering ",Bangalore,1998,More than 1000 employees,https://www.instahyre.com/job-245061-data-scientist-engineering-at-google-2-bangalore-hyderabad/,Aneesh Vikram,3-7 Years,29000000,Julia,MATLAB,Python,R,SQL,pandas,,Class3,Junior Level
LTIMindtree,Pega Automation Testing ,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-245386-pega-automation-testing-at-ltimindtree-2-bangalore-hyderabad-mumbai/,Akshata,4-6 Years,452194,Automation,Testing,Pega,Selenium,,,,Class1,Mid-Level
MediBuddy,CRM Manager ,Bangalore,2013,More than 1000 employees,https://www.instahyre.com/job-245065-crm-manager-at-medibuddy-bangalore/,Gayathri NB HR Talent Acquisition,3-7 Years,47000,CRM,Clevertap,Retention,Management,,,,Class1,Junior Level
MyBillBook (FloBiz),Inside Sales ,Noida,2019,200 - 500 employees,https://www.instahyre.com/job-245063-inside-sales-at-mybillbook-flobiz-noida/,Damini Hanotia,1-5 Years,17488,Channel,Sales,Corporate,Sales,Sales,Telecalling,,Class2,Junior Level
